Task name,Due,Assignee,Status,Summary,Tags,Created time,Date
Merge K Sorted List,,,Not started,,Heaps,"December 8, 2023 11:24 AM",
Reverse Nodes in K-Group,,,Not started,,Linked List,"December 8, 2023 1:42 PM",
Longest Consecutive Sequence,,,Not started,,"HashMap, Sorting","December 8, 2023 1:52 PM",
N-Queens,,,Not started,,Backtracking,"December 8, 2023 3:07 PM",
Edit Distance,,,Not started,,"Dynamic Programming, Memoization","December 8, 2023 3:39 PM",
Minimum Window Substring,,,Not started,,Two Pointers,"December 16, 2023 2:10 PM",
Sliding Window Maximum,,,Not started,,Heaps,"December 16, 2023 2:37 PM",
Trapping Rain Water,,,Not started,,Two Pointers,"December 16, 2023 7:41 PM",
Word Search II,,,Not started,,"Backtracking, Trie","December 16, 2023 10:21 PM",
Binary Tree Max Path Sum,,,Not started,,Trees,"December 19, 2023 3:17 PM",
Serialize and Deserialize Binary Tree,,,Not started,,BFS,"December 19, 2023 5:10 PM",
Regular Expression Matching,,,Not started,,Dynamic Programming,"December 19, 2023 6:54 PM",
Burst Balloons,,,Not started,,Dynamic Programming,"December 20, 2023 11:03 AM",
Reconstruct Itinerary,,,Not started,,Graph,"December 20, 2023 2:02 PM",
Swim in Rising Water,,,Not started,,"Minimum Spanning Tree, Prims","December 20, 2023 3:22 PM",
Alien Dictionary,,,Not started,,Topological Sort,"December 20, 2023 7:27 PM",
Word Ladder,,,Not started,,HashMap,"December 20, 2023 8:35 PM",
