Status,Task name,Tags
Not started,https://leetcode.com/problems/largest-submatrix-with-rearrangements/,Prefix Sum
Not started,https://leetcode.com/problems/knight-dialer/,Dynamic Programming
Not started,https://leetcode.com/problems/maximum-number-of-coins-you-can-get/,Math
Not started,https://leetcode.com/problems/count-nice-pairs-in-an-array/,Hash Map
Not started,https://leetcode.com/problems/minimum-amount-of-time-to-collect-garbage/,"Prefix Sum, Preprocessing"
Not started,https://leetcode.com/problems/maximum-element-after-decreasing-and-rearranging/,"Sorting, Stack"
Not started,https://leetcode.com/problems/unique-length-3-palindromic-subsequences/,"Hash Map, Prefix Sum"
Not started,https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor/,"Preprocessing, Recursion"
Not started,https://leetcode.com/problems/number-of-1-bits/,Math
Not started,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero/,"Math, Recursion"
Not started,https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/,Two Pointer
Not started,https://leetcode.com/problems/asteroid-collision/,Stack
Not started,https://leetcode.com/problems/minimum-time-visiting-all-points/,"A*, Math"
Not started,https://leetcode.com/problems/count-of-matches-in-tournament/,Recursion
Not started,https://leetcode.com/problems/calculate-money-in-leetcode-bank/,Math
Not started,https://leetcode.com/problems/construct-string-from-binary-tree/,Recursion
Not started,https://leetcode.com/problems/binary-tree-inorder-traversal/,"Recursion, Stack"
Not started,https://leetcode.com/problems/transpose-matrix/,Matrix
Not started,https://leetcode.com/problems/find-common-elements-between-two-arrays/,Array
Not started,https://leetcode.com/problems/remove-adjacent-almost-equal-characters/,Dynamic Programming
Not started,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency/,Two Pointer
Not started,https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array/,Binary Search
Not started,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array/,Array
Not started,https://leetcode.com/problems/special-positions-in-a-binary-matrix/,Matrix
Not started,https://leetcode.com/problems/difference-between-ones-and-zeros-in-row-and-column/,Array
Not started,https://leetcode.com/problems/destination-city/,DFS
Not started,https://leetcode.com/problems/valid-anagram/,Two Pointer
Not started,https://leetcode.com/problems/design-a-food-rating-system/,"Hash Map, Heap"
Not started,https://leetcode.com/problems/validate-ip-address/,String
Not started,https://leetcode.com/problems/image-smoother/,Matrix
Not started,https://leetcode.com/problems/simplify-path/,Stack
Not started,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/,Hash Map
Not started,https://leetcode.com/problems/buy-two-chocolates/,Sorting
